name,link,origin,birth,origin_point,birth_point,spotify_id,genre
The New Christy Minstrels,/wiki/The_New_Christy_Minstrels,United States,,"{""coordinates"": [-96.999246, 39.71614], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",77OdfWXrYy6DcYPzmUOr6a,folk
Carrie Newcomer,/wiki/Carrie_Newcomer,,Dowagiac,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-86.111209, 41.984194], ""type"": ""Point""}",5RsLS2CnzkMCGfl3FobdUR,folk
Joanna Newsom,/wiki/Joanna_Newsom,,"Grass Valley, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-121.055374, 39.227706], ""type"": ""Point""}",4gn6f5jaOO75s0oF7ozqGG,folk
Nickel Creek,/wiki/Nickel_Creek,"Carlsbad, California, U.S.",,"{""coordinates"": [-117.288417, 33.121741], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3bcLBxvaI7GsBzGp3WHnwQ,folk
Willie Nile,/wiki/Willie_Nile,"Buffalo, New York","Buffalo, New York","{""coordinates"": [-78.852918, 42.890831], ""type"": ""Point""}","{""coordinates"": [-78.852918, 42.890831], ""type"": ""Point""}",42chtGdwnAdG2TECndse7J,folk
Conor Oberst,/wiki/Conor_Oberst,,"Omaha, Nebraska","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-95.989632, 41.261377], ""type"": ""Point""}",2Z7gV3uEh1ckIaBzTUCE6R,folk
Phil Ochs,/wiki/Phil_Ochs,"New York City, U.S.","El Paso, Texas","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [-106.488793, 31.818409], ""type"": ""Point""}",3JhQGw54MOytJP3GZ8KNPo,folk
Mark O'Connor,/wiki/Mark_O%27Connor,,"[1], Mountlake Terrace, Washington","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-112.447086, 42.918947], ""type"": ""Point""}",5zfaMrd5q4szVTxVYWuoDV,folk
Odetta,/wiki/Odetta,,"Birmingham, Alabama","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-86.800929, 33.530651], ""type"": ""Point""}",2wkz8hACugzAvF0voupg3H,folk
Jerry O'Sullivan,/wiki/Jerry_O%27Sullivan_(musician),,"New York City, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",6BDcotssTh0uk4AbcuEugb,folk
Jim Page,/wiki/Jim_Page_(singer),,"Palo Alto, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-122.127302, 37.431169], ""type"": ""Point""}",3OfefzRdoMKkvIs7uVPuyH,folk
Patrick Park,/wiki/Patrick_Park,"Morrison, Colorado, U.S.",[1],"{""coordinates"": [-105.206821, 39.624605], ""type"": ""Point""}","{""coordinates"": [87.18018, 27.23006], ""type"": ""Point""}",4I1ZPDoEcZOul26MTXDhNO,folk
