name,link,origin,birth,origin_point,birth_point,spotify_id,genre
M. Ward,/wiki/M._Ward,"Glendale, California, U.S.",,"{""coordinates"": [-118.24774, 34.176355], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6nXSnNEdLuKTzAQozRtqiI,folk
Washington Squares,/wiki/Washington_Squares,"Greenwich Village, NY, U.S.",,"{""coordinates"": [-73.996497, 40.731498], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3ZQOs0TSimeaE1kMUZ2GCT,folk
Linda Waterfall,/wiki/Linda_Waterfall,"Seattle, WA","[1], Illinois","{""coordinates"": [-122.331537, 47.673455], ""type"": ""Point""}","{""coordinates"": [120.969323, 14.276238], ""type"": ""Point""}",5jCoozSbSPCRH2fQSwyRBS,folk
Doc Watson,/wiki/Doc_Watson,,"Deep Gap, North Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.503834, 36.233889], ""type"": ""Point""}",01N1aZStXA4yGvkz4vRXtJ,folk
Willie Watson,/wiki/Willie_Watson_(musician),,"Watkins Glen, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-76.866967, 42.379004], ""type"": ""Point""}",5j9IEu1SEY0JslCPmfVsgq,folk
The Weavers,/wiki/The_Weavers,"Greenwich Village, New York City, United States",,"{""coordinates"": [-73.996497, 40.731498], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4E5eAkpbJLO40r8fWNWm6X,folk
The Weepies,/wiki/The_Weepies,"Cambridge, Massachusetts, U.S.",,"{""coordinates"": [-71.115987, 42.38036], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6pwHWKweuoCyx3OoFaD0Q5,folk
Gillian Welch,/wiki/Gillian_Welch,"Nashville, Tennessee",New York City,"{""coordinates"": [-86.834683, 36.236907], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",2H5elA2mJKrHmqkN9GSfkz,folk
Hedy West,/wiki/Hedy_West,"Cartersville, Georgia[1]",,"{""coordinates"": [-84.799481, 34.160411], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4SvvBi2pikrPFaCpESBLXw,folk
Floyd Red Crow Westerman,/wiki/Floyd_Red_Crow_Westerman,,"Lake Traverse Indian Reservation, South Dakota","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-100.229958, 44.470716], ""type"": ""Point""}",2ficckYpBLlSvbKH3GbUBb,folk
Cheryl Wheeler,/wiki/Cheryl_Wheeler,"Timonium, Maryland, United States",,"{""coordinates"": [-76.614069, 39.444041], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4bvWv6KDmnNNJCfElUEgsZ,folk
Whiskeytown,/wiki/Whiskeytown,"Raleigh, North Carolina, U.S.",,"{""coordinates"": [-78.64439, 35.795543], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",0tyLMmQvEuyQR4qjGBdbem,folk
Josh White,/wiki/Josh_White,,"Greenville, South Carolina","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.382065, 34.846404], ""type"": ""Point""}",4KTkQA8GYHDdnF85o70VoO,folk
William Elliott Whitmore,/wiki/William_Elliott_Whitmore,,"Lee County, Iowa","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-91.509096, 40.664914], ""type"": ""Point""}",55N838yCXjxLVkBkIM5pnf,folk
David Wilcox,/wiki/David_Wilcox_(American_musician),,"Mentor, Ohio","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-81.327089, 41.688644], ""type"": ""Point""}",3BTGj5kBXwkmm8M3vMbypx,folk
Dar Williams,/wiki/Dar_Williams,"Mount Kisco, New York, US",,"{""coordinates"": [-73.730197, 41.203437], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",4Aarr7f0itQ2WFmmiPcriK,folk
Lucinda Williams,/wiki/Lucinda_Williams,,"Lake Charles, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-93.213418, 30.203629], ""type"": ""Point""}",60ht0hWRy1yjUDfNsLuHuP,folk
Victoria Williams,/wiki/Victoria_Williams,,"Shreveport, Louisiana","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-93.764207, 32.467848], ""type"": ""Point""}",3X4XES8PyvXVguL9Q6IEVD,folk
Cris Williamson,/wiki/Cris_Williamson,,"Deadwood, South Dakota","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-103.720282, 44.384596], ""type"": ""Point""}",3HAd50yqk5ADswivbp5lWf,folk
Wishing Chair,/wiki/Wishing_Chair,"Lexington, Kentucky, United States",,"{""coordinates"": [-84.474459, 38.056966], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",7KHj0yjNyFOiP60uTltQoQ,folk
Denison Witmer,/wiki/Denison_Witmer,"Lancaster, Pennsylvania, U.S.",,"{""coordinates"": [-76.304136, 40.038119], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2sJ5Iicthbc9d8Sl1dpeSB,folk
Kate Wolf,/wiki/Kate_Wolf,,"San Francisco, California","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-122.431272, 37.778008], ""type"": ""Point""}",0WisBVzWAcOpZtdUf23TiC,folk
Hally Wood,/wiki/Hally_Wood,,"Washington, D.C.","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-77.01712, 38.82652], ""type"": ""Point""}",4cAUFrgRIV25uKnTH8pfJu,folk
Martin Zellar,/wiki/Martin_Zellar,,"Austin, Minnesota","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-92.988013, 43.66604], ""type"": ""Point""}",6nWoeTrnmG1742Y5fMGwpX,folk
