name,link,origin,birth
Baby Chaos,/wiki/Baby_Chaos,"Glasgow, Scotland",
Bad Books,/wiki/Bad_Books_(band),"Atlanta, Georgia / Brooklyn, New York, United States",
Bad Suns,/wiki/Bad_Suns,"Woodland Hills, California, U.S.",
Badflower,/wiki/Badflower,"Los Angeles, California, U.S.",
Balance and Composure,/wiki/Balance_and_Composure,"Doylestown, Pennsylvania, U.S.",
Band of Horses,/wiki/Band_of_Horses,"Seattle, Washington(now based in Charleston, South Carolina)",
Barenaked Ladies,/wiki/Barenaked_Ladies,"Scarborough, Ontario, Canada",
Baryonyx,/wiki/Baryonyx_(band),Italy,
Bastille,/wiki/Bastille_(band),"London, England",
Battles,/wiki/Battles_(band),"New York City, United States",
Bayside,/wiki/Bayside_(band),"New York City, U.S.",
Be Your Own Pet,/wiki/Be_Your_Own_Pet,"Nashville, Tennessee, U.S.",
Beady Eye,/wiki/Beady_Eye,"London, England",
Beastie Boys,/wiki/Beastie_Boys,"New York City, U.S.",
Beck,/wiki/Beck,,Los Angeles
Beirut,/wiki/Beirut_(band),"Santa Fe, New Mexico, U.S.",
The Belltower,/wiki/The_Belltower,"New York City, New York, USA",
Belly,/wiki/Belly_(band),"Newport, Rhode Island, United States",
Ben Folds Five,/wiki/Ben_Folds_Five,"Chapel Hill, North Carolina, U.S.",
Ben Kweller,/wiki/Ben_Kweller,"Greenville, Texas",
Benjamin Burnley,/wiki/Benjamin_Burnley,,"Atlantic City, New Jersey"
Beth Orton,/wiki/Beth_Orton,"Norwich, England","[1], Dereham"
Better Than Ezra,/wiki/Better_Than_Ezra,"Baton Rouge, Louisiana, U.S.",
Beware of Darkness,/wiki/Beware_of_Darkness_(band),"Santa Barbara, California, U.S.",
Bif Naked,/wiki/Bif_Naked,"Winnipeg, Manitoba, Canada","New Delhi, Delhi"
Biffy Clyro,/wiki/Biffy_Clyro,"Kilmarnock, East Ayrshire, Scotland",
Big Black,/wiki/Big_Black,"Evanston, Illinois, U.S.",
Big Dipper,/wiki/Big_Dipper_(band),"Boston, Massachusetts, United States",
Big Wreck,/wiki/Big_Wreck,"Boston, Massachusetts, United States",
The Big Pink,/wiki/The_Big_Pink,"London, England",
Billie Joe Armstrong,/wiki/Billie_Joe_Armstrong,,"Oakland, California"
Billy Corgan,/wiki/Billy_Corgan,,"Chicago, Illinois"
Billy Talent,/wiki/Billy_Talent,"Mississauga, Ontario, Canada",
The Birds of Satan,/wiki/The_Birds_of_Satan,"Los Angeles, CA",
Birds of Tokyo,/wiki/Birds_of_Tokyo,"Perth, Western Australia",
Björk,/wiki/Bj%C3%B6rk,,Reykjavík
The Black Crowes,/wiki/The_Black_Crowes,"Atlanta, Georgia, U.S.",
The Black Keys,/wiki/The_Black_Keys,"Akron, Ohio, U.S.",
Black Kids,/wiki/Black_Kids,"Jacksonville, Florida",
Black Light Burns,/wiki/Black_Light_Burns,"Los Angeles, California, U.S.",
Black Rebel Motorcycle Club,/wiki/Black_Rebel_Motorcycle_Club,"San Francisco, California, U.S.",
Bleachers,/wiki/Bleachers_(band),"Bergenfield, New Jersey, U.S.",
Blind Melon,/wiki/Blind_Melon,"Los Angeles, California, U.S.",
Blind Pilot,/wiki/Blind_Pilot,"Astoria, Oregon",
Blindside,/wiki/Blindside_(band),"Stockholm, Sweden",
Blink-182,/wiki/Blink-182,"Poway, California, U.S.",
Bloc Party,/wiki/Bloc_Party,"London, England",
Blonde Redhead,/wiki/Blonde_Redhead,"New York City, New York, United States",
Blood Red Shoes,/wiki/Blood_Red_Shoes,"Brighton, England",
Bloodhound Gang,/wiki/Bloodhound_Gang,"Pennsylvania, U.S.",
Blue October,/wiki/Blue_October,"Houston, Texas, U.S.",
The Bluebells,/wiki/The_Bluebells,Scotland,
Blumfeld,/wiki/Blumfeld,"Hamburg, Germany",
Blues Traveler,/wiki/Blues_Traveler,"Princeton, New Jersey, U.S.",
Blur,/wiki/Blur_(band),"London, England",
Bob Mould,/wiki/Bob_Mould,,"[1], Malone, New York"
Bodyjar,/wiki/Bodyjar,"Melbourne, Victoria, Australia",
The Bolshoi,/wiki/The_Bolshoi,"Trowbridge, Wiltshire, England",
Bon Iver,/wiki/Bon_Iver,"Eau Claire, Wisconsin, U.S.",
Bono,/wiki/Bono,"Dublin, Ireland","Dublin, Ireland"
The Boo Radleys,/wiki/The_Boo_Radleys,"Wallasey, England",
Bowling For Soup,/wiki/Bowling_For_Soup,"Wichita Falls, Texas, U.S.",
Boys Like Girls,/wiki/Boys_Like_Girls,"Andover,[1] Massachusetts, U.S.",
Bracket,/wiki/Bracket_(band),"Forestville, California, United States",
Brand New,/wiki/Brand_New_(band),"Long Island, New York, U.S.",
Brandon Flowers,/wiki/Brandon_Flowers,,"Henderson, Nevada"
The Bravery,/wiki/The_Bravery,"New York City, New York, U.S.",
Breaking Benjamin,/wiki/Breaking_Benjamin,"Wilkes-Barre, Pennsylvania, U.S.",
The Breeders,/wiki/The_Breeders,"Dayton, Ohio, U.S.",
Brendon Urie,/wiki/Brendon_Urie,"Las Vegas, Nevada, U.S.","St. George, Utah"
Bring Me the Horizon,/wiki/Bring_Me_the_Horizon,"Sheffield, South Yorkshire, England",
Broder Daniel,/wiki/Broder_Daniel,"Göteborg, Sweden",
Brother Cane,/wiki/Brother_Cane,"Birmingham, Alabama, U.S.",
Brymo,/wiki/Brymo,,"Okokomaiko, Ojo, Lagos State"
The Buck Pets,/wiki/The_Buck_Pets,"Dallas, Texas, United States",
Buffalo Tom,/wiki/Buffalo_Tom,"Boston, Massachusetts, United States",
