name,link,origin,birth
Forty Foot Echo,/wiki/Forty_Foot_Echo,"Vancouver, British Columbia, Canada",
Foster the People,/wiki/Foster_the_People,"Los Angeles, California, U.S.",
Fountains of Wayne,/wiki/Fountains_of_Wayne,"New York City, U.S.",
The Frames,/wiki/The_Frames,"Dublin, Ireland",
Framing Hanley,/wiki/Framing_Hanley,"Nashville, Tennessee, U.S.",
Frank Black and the Catholics,/wiki/Frank_Black,,"Boston, Massachusetts"
Frank Iero,/wiki/Frank_Iero,,"Belleville, New Jersey"
Frank Turner,/wiki/Frank_Turner,"Meonstoke, Hampshire, England",Manama
Franz Ferdinand,/wiki/Franz_Ferdinand_(band),"Glasgow, Scotland",
The Fratellis,/wiki/The_Fratellis,"Glasgow, Scotland",
The Fray,/wiki/The_Fray,"Denver, Colorado, U.S.",
Freelance Whales,/wiki/Freelance_Whales,"Queens, New York, United States",
Frente!,/wiki/Frente!,"Melbourne, Victoria, Australia",
The Front Bottoms,/wiki/The_Front_Bottoms,"Woodcliff Lake, New Jersey, United States",
Fuel,/wiki/Fuel_(band),"Harrisburg, Pennsylvania, U.S.",
Fugazi,/wiki/Fugazi,"Washington, D.C., United States",
Fun,/wiki/Fun_(band),"New York City, U.S.",
Fun Lovin Criminals,/wiki/Fun_Lovin_Criminals,"New York City, U.S.",
Funeral For A Friend,/wiki/Funeral_For_A_Friend,"Bridgend, Wales",
Funeral Party,/wiki/Funeral_Party,"Whittier, California, U.S.",
Further Seems Forever,/wiki/Further_Seems_Forever,"Pompano Beach, Florida, U.S.",
The Futureheads,/wiki/The_Futureheads,"Sunderland, England",
The Gandharvas,/wiki/The_Gandharvas,"London, Ontario, Canada",
Gang Gang Dance,/wiki/Gang_Gang_Dance,"New York City, U.S.",
Garbage,/wiki/Garbage_(band),"Madison, Wisconsin, U.S.",
Garrett Borns,/wiki/Garrett_Borns,"Grand Haven, Michigan, U.S.","Muskegon, Michigan"
Gary Lightbody,/wiki/Gary_Lightbody,,"Bangor, County Down"
The Gaslight Anthem,/wiki/The_Gaslight_Anthem,"New Brunswick, New Jersey, United States",
Gerard Way,/wiki/Gerard_Way,,"Summit, New Jersey"
The Get Up Kids,/wiki/The_Get_Up_Kids,"Kansas City, U.S.",
Giant Drag,/wiki/Giant_Drag,"Los Angeles, California, U.S.",
Gin Blossoms,/wiki/Gin_Blossoms,"Tempe, Arizona, U.S.",
