,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
289,Gillian Welch,/wiki/Gillian_Welch,"Nashville, Tennessee",New York City,POINT (-86.834683 36.236907),POINT (-73.9708 40.68295),2H5elA2mJKrHmqkN9GSfkz,folk
290,Hedy West,/wiki/Hedy_West,"Cartersville, Georgia[1]",,POINT (-84.799481 34.160411),POINT (100.77522 18.776703),4SvvBi2pikrPFaCpESBLXw,folk
291,Floyd Red Crow Westerman,/wiki/Floyd_Red_Crow_Westerman,,"Lake Traverse Indian Reservation, South Dakota",POINT (100.77522 18.776703),POINT (-100.229958 44.470716),2ficckYpBLlSvbKH3GbUBb,folk
292,Cheryl Wheeler,/wiki/Cheryl_Wheeler,"Timonium, Maryland, United States",,POINT (-76.614069 39.444041),POINT (100.77522 18.776703),4bvWv6KDmnNNJCfElUEgsZ,folk
293,Whiskeytown,/wiki/Whiskeytown,"Raleigh, North Carolina, U.S.",,POINT (-78.64439 35.795543),POINT (100.77522 18.776703),0tyLMmQvEuyQR4qjGBdbem,folk
294,Josh White,/wiki/Josh_White,,"Greenville, South Carolina",POINT (100.77522 18.776703),POINT (-82.382065 34.846404),4KTkQA8GYHDdnF85o70VoO,folk
295,William Elliott Whitmore,/wiki/William_Elliott_Whitmore,,"Lee County, Iowa",POINT (100.77522 18.776703),POINT (-91.509096 40.664914),55N838yCXjxLVkBkIM5pnf,folk
296,David Wilcox,/wiki/David_Wilcox_(American_musician),,"Mentor, Ohio",POINT (100.77522 18.776703),POINT (-81.327089 41.688644),3BTGj5kBXwkmm8M3vMbypx,folk
297,Dar Williams,/wiki/Dar_Williams,"Mount Kisco, New York, US",,POINT (-73.730197 41.203437),POINT (100.77522 18.776703),4Aarr7f0itQ2WFmmiPcriK,folk
298,Lucinda Williams,/wiki/Lucinda_Williams,,"Lake Charles, Louisiana",POINT (100.77522 18.776703),POINT (-93.213418 30.203629),60ht0hWRy1yjUDfNsLuHuP,folk
299,Victoria Williams,/wiki/Victoria_Williams,,"Shreveport, Louisiana",POINT (100.77522 18.776703),POINT (-93.764207 32.467848),3X4XES8PyvXVguL9Q6IEVD,folk
300,Cris Williamson,/wiki/Cris_Williamson,,"Deadwood, South Dakota",POINT (100.77522 18.776703),POINT (-103.720282 44.384596),3HAd50yqk5ADswivbp5lWf,folk
301,Wishing Chair,/wiki/Wishing_Chair,"Lexington, Kentucky, United States",,POINT (-84.474459 38.056966),POINT (100.77522 18.776703),7KHj0yjNyFOiP60uTltQoQ,folk
302,Denison Witmer,/wiki/Denison_Witmer,"Lancaster, Pennsylvania, U.S.",,POINT (-76.304136 40.038119),POINT (100.77522 18.776703),2sJ5Iicthbc9d8Sl1dpeSB,folk
303,Kate Wolf,/wiki/Kate_Wolf,,"San Francisco, California",POINT (100.77522 18.776703),POINT (-122.431272 37.778008),0WisBVzWAcOpZtdUf23TiC,folk
304,Hally Wood,/wiki/Hally_Wood,,"Washington, D.C.",POINT (100.77522 18.776703),POINT (-77.01712 38.82652),4cAUFrgRIV25uKnTH8pfJu,folk
305,Martin Zellar,/wiki/Martin_Zellar,,"Austin, Minnesota",POINT (100.77522 18.776703),POINT (-92.988013 43.66604),6nWoeTrnmG1742Y5fMGwpX,folk
