name,link,origin,birth,origin_point,birth_point,genre,spotify_id
Little Anthony and the Imperials,/wiki/Little_Anthony_and_the_Imperials,"Brooklyn, New York City, United States",,POINT (-73.956582 40.652256),,soul,3PF1KBeHYb14yKgsiE693V
Little Milton,/wiki/Little_Milton,,"Inverness, Mississippi",POINT (100.77522 18.776703),POINT (-90.590307 33.352188),soul,0MPtuQaV2GiRdLjAkPOaan
Little Richard,/wiki/Little_Richard,,"Macon, Georgia",POINT (100.77522 18.776703),POINT (-83.650961 32.820697),soul,4xls23Ye9WR9yy3yYMpAMm
Mary Love,/wiki/Mary_Love,,Sacramento,POINT (100.77522 18.776703),POINT (-57.708725 -34.191051),soul,7jgQOElLx7PDCxydTpJmMN
Barbara Lynn,/wiki/Barbara_Lynn,,"Beaumont, Texas",POINT (100.77522 18.776703),POINT (-94.145006 30.084818),soul,2wQyX5625x6IGls8zLLHMB
Cheryl Lynn,/wiki/Cheryl_Lynn,,"Los Angeles, California, [1]",POINT (100.77522 18.776703),POINT (-118.25703 34.05513),soul,6UfoTQXaV3DuqtDVjZIxwZ
Maysa Leak,/wiki/Maysa_Leak,,"Baltimore, Maryland",POINT (100.77522 18.776703),POINT (-76.649533 39.319732),soul,4QIu9vST3na1rtUfG31mzT
Veronica Maggio,/wiki/Veronica_Maggio,,Uppsala,POINT (100.77522 18.776703),POINT (17.632732 59.85131),soul,2OIWxN9xUhgUHkeUCWCaNs
Maher Zain,/wiki/Maher_Zain,Sweden,"Tripoli, Lebanon",POINT (19.017205 65.859144),POINT (35.838332 34.435643),soul,6PUZZX4GCzeFS0GaDWxVwz
Sananda Maitreya,/wiki/Sananda_Maitreya,"London, England[1]",Manhattan,POINT (-0.099076 51.509648),POINT (-73.967596 40.777048),soul,6RGxLsQUoGk5PLyMVwb3yE
Teena Marie,/wiki/Teena_Marie,,"Santa Monica, California",POINT (100.77522 18.776703),POINT (-118.479052 34.021711),soul,61UT1Zj9dFgPAjZfwnsqsb
Bruno Mars,/wiki/Bruno_Mars,,Honolulu,POINT (100.77522 18.776703),POINT (-157.789396 21.40572),soul,0du5cEVh5yTK9QJze8zA0C
Miguel,/wiki/Miguel_(singer),,"Los Angeles, California, [1]",POINT (100.77522 18.776703),POINT (-118.25703 34.05513),soul,360IAlyVv4PCEVjgyMZrxK
Kristi Martel,/wiki/Kristi_Martel,"Melrose, Massachusetts, United States",,POINT (-71.061312 42.456855),,soul,1BjfF7hPReNbO2vsI5Zeso
Martha & the Vandellas,/wiki/Martha_%26_the_Vandellas,"Detroit, Michigan, United States",,POINT (-83.164558 42.398648),,soul,1Pe5hlKMCTULjosqZ6KanP
The Marvelettes,/wiki/The_Marvelettes,"Inkster, Michigan, U.S.",,POINT (-83.314827 42.293488),,soul,0MponVSpW81oLvJZ53vYZH
Johnny Mathis,/wiki/Johnny_Mathis,"San Francisco, California, U.S","Gilmer, Texas",POINT (-122.431272 37.778008),POINT (-94.948404 32.731645),soul,21LGsW7bziR4Ledx7WZ1Wf
Jessica Mauboy,/wiki/Jessica_Mauboy,,"Darwin, Northern Territory",POINT (100.77522 18.776703),POINT (130.842984 -12.460477),soul,6rHWAH6F4mr2AViSxMV673
John Mayer,/wiki/John_Mayer,,"Bridgeport, Connecticut",POINT (100.77522 18.776703),POINT (-73.187333 41.188221),soul,0hEurMDQu99nJRq8pTxO14
Maxwell,/wiki/Maxwell_(musician),,"Brooklyn, New York",POINT (100.77522 18.776703),POINT (-73.956582 40.652256),soul,2AOt5htsbtyaHd5Eq3kl3j
Mýa,/wiki/M%C3%BDa,,"Washington, D.C.",POINT (100.77522 18.776703),POINT (-77.01712 38.82652),soul,6lHL3ubAMgSasKjNqKb8HF
Toussaint McCall,/wiki/Toussaint_McCall,,"Delhi, Louisiana",POINT (100.77522 18.776703),POINT (-91.48877 32.453317),soul,421kKwxa5GC9nLddFuqtNL
George McCrae,/wiki/George_McCrae,,"West Palm Beach, Florida",POINT (100.77522 18.776703),POINT (-80.161387 26.752516),soul,6oV3BNm1Gj2GGgpYknc5TN
Gwen McCrae,/wiki/Gwen_McCrae,,"Pensacola, Florida, [1], [2]",POINT (100.77522 18.776703),POINT (-87.176514 30.439959),soul,742YR9ZgF0tCO5juBfvPAU
Michael McDonald,/wiki/Michael_McDonald_(singer),,"St. Louis, Missouri",POINT (100.77522 18.776703),POINT (-90.244086 38.633024),soul,24hJWbo98sH84tb0nkeaqy
Kevin McHale,/wiki/Kevin_McHale_(actor),,"Plano, Texas",POINT (100.77522 18.776703),POINT (-96.757092 33.047269),soul,3B7QnGvog2Lwsqcnk3jNlt
Clyde McPhatter,/wiki/Clyde_McPhatter,,"Durham, North Carolina",POINT (100.77522 18.776703),POINT (-78.915629 35.975835),soul,4WL6MC4jDW7w7K9hfc4MVS
Mel and Tim,/wiki/Mel_and_Tim,United States,,POINT (-96.999246 39.71614),,soul,5RJYcOkDKv0dBxCEYPOivb
Harold Melvin & the Blue Notes,/wiki/Harold_Melvin_%26_the_Blue_Notes,"Philadelphia, Pennsylvania, U.S.",,POINT (-75.168428 39.990821),,soul,438JBZR1AR0l04AzcYW9gy
The Memphis Horns,/wiki/The_Memphis_Horns,United States,,POINT (-96.999246 39.71614),,soul,6RYb06UBkiv8IWByqRhEDd
The Meters,/wiki/The_Meters,"New Orleans, Louisiana, U.S.",,POINT (-89.889852 30.056708),,soul,2JRvXPGWiINrnJljNJhG5s
Chrisette Michele,/wiki/Chrisette_Michele,"Patchogue, New York City, U.S.","Central Islip, New York",POINT (-73.9708 40.68295),POINT (-73.197655 40.784815),soul,3YJMzGjAm245zwJooY7PEj
Angie Miller,/wiki/Angie_Miller_(American_singer),,"Beverly, Massachusetts, US",POINT (100.77522 18.776703),POINT (-70.849633 42.56478),soul,6PvtUf5KPILflzh5gn6V98
Stephanie Mills,/wiki/Stephanie_Mills,,"[1], Bedford–Stuyvesant, Brooklyn",POINT (100.77522 18.776703),,soul,0PcIlEZa7rreM7729ot05g
Garnet Mimms,/wiki/Garnet_Mimms,,"Ashland, West Virginia",POINT (100.77522 18.776703),POINT (-81.3526 37.40845),soul,1ktvF9yU9iWgY0aGlKfTS4
The Miracles,/wiki/The_Miracles,"Detroit, Michigan, United States",,POINT (-83.164558 42.398648),,soul,6TqQLejnHXMGr7KcegxUND
Mahalia,/wiki/Mahalia_(singer),"Leicester, United Kingdom",,POINT (-1.134219 52.631453),,soul,16rCzZOMQX7P8Kmn5YKexI
Jackie Mittoo,/wiki/Jackie_Mittoo,"Brown's Town, Saint Ann Parish, Jamaica",,POINT (-77.36684 18.39247),,soul,6UTUjmko5raD927Hbx960a
Janelle Monáe,/wiki/Janelle_Mon%C3%A1e,,"Kansas City, Kansas",POINT (100.77522 18.776703),POINT (-94.630146 39.113581),soul,6ueGR6SWhUJfvEhqkvMsVs
Monica,/wiki/Monica_(entertainer),,"College Park, Georgia",POINT (100.77522 18.776703),POINT (-84.459095 33.639297),soul,6nzxy2wXs6tLgzEtqOkEi2
Dorothy Moore,/wiki/Dorothy_Moore,,"Jackson, Mississippi",POINT (100.77522 18.776703),POINT (-90.229913 32.30835),soul,3KQOgtRIeQVHdYFcNHKavs
Jackie Moore,/wiki/Jackie_Moore_(singer),,"Jacksonville, Florida",POINT (100.77522 18.776703),POINT (-81.660992 30.369914),soul,1EialtL6J5R7O0exgdgQ1w
Teedra Moses,/wiki/Teedra_Moses,,"New Orleans, Louisiana",POINT (100.77522 18.776703),POINT (-89.889852 30.056708),soul,6vfR5QRc3xca0KvpG8KZBE
Musiq Soulchild,/wiki/Musiq_Soulchild,,"Philadelphia, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.168428 39.990821),soul,3UVRliakQfa1pMWIsNuiZ8
Muscle Shoals Rhythm Section,/wiki/Muscle_Shoals_Rhythm_Section,"Muscle Shoals, Alabama, U.S.",,POINT (-87.637902 34.740716),,soul,5D0dUBrdpSseOcpaaA8zrX
Michael Bublé,/wiki/Michael_Bubl%C3%A9,,"Burnaby, British Columbia",POINT (100.77522 18.776703),POINT (-122.966319 49.248223),soul,1GxkXlMwML1oSg5eLPiAz3
Xavier Naidoo,/wiki/Xavier_Naidoo,,"Mannheim, West Germany",POINT (100.77522 18.776703),POINT (8.492765 49.488789),soul,47RPLpnGhBRTjQrRBOev9s
Aaron Neville,/wiki/Aaron_Neville,"New Orleans, Louisiana, U.S.",,POINT (-89.889852 30.056708),,soul,57ALvbCBaCkNlgTOSiUPdT
The Neville Brothers,/wiki/The_Neville_Brothers,"New Orleans, Louisiana, U.S.",,POINT (-89.889852 30.056708),,soul,3d1olqhURDe8e5HOta1Qxg
John Newman,/wiki/John_Newman_(singer),,"Settle, North Yorkshire",POINT (100.77522 18.776703),POINT (-2.280682 54.070882),soul,34v5MVKeQnIo0CWYMbbrPf
Ne-Yo,/wiki/Ne-Yo,"Las Vegas, Nevada, U.S.","[1], Camden, Arkansas",POINT (-115.279104 36.190364),POINT (-75.115899 39.94139),soul,21E3waRsmPlU7jZsS13rcj
Nneka,/wiki/Nneka_(singer),"Warri, Nigeria",,POINT (5.751696 5.549106),,soul,0VX4MyYhvKRtU1AZUVGLUZ
Nick Jonas & the Administration,/wiki/Nick_Jonas_%26_the_Administration,"Los Angeles, California, U.S.",,POINT (-118.25703 34.05513),,soul,4Rxn7Im3LGfyRkY2FlHhWi
Nikolai Noskov,/wiki/Nikolai_Noskov,,"Gzhatsk, Russian SFSR, Soviet Union",POINT (100.77522 18.776703),POINT (28.183167 -26.005746),soul,1catHoYuCijE4ZVdTbDsdb
Nina (Soul Siren),/wiki/Nina_Girado,,"Pasay, Metro Manila",POINT (100.77522 18.776703),POINT (120.998905 14.545071),soul,7G1GBhoKtEPnP86X2PvEYO
Laura Nyro,/wiki/Laura_Nyro,,The Bronx,POINT (100.77522 18.776703),POINT (-73.874979 40.853551),soul,6QDWC6QeGhvCWCv3nUJwoV
The O'Jays,/wiki/The_O%27Jays,"Canton, Ohio, U.S.",,POINT (-81.375052 40.803604),,soul,38h03gA85YYPeDPd9ER9rT
Billy Ocean,/wiki/Billy_Ocean,"Romford, Essex, England","Fyzabad, Trinidad and Tobago",POINT (0.187486 51.57772),POINT (-61.54865 10.18438),soul,5IDs1CK15HegSAhGEbSYXo
Frank Ocean,/wiki/Frank_Ocean,"New Orleans, Louisiana, U.S.","Long Beach, California",POINT (-89.889852 30.056708),POINT (-118.121307 33.797395),soul,2h93pZq0e7k5yf4dywlkpM
The Ohio Players,/wiki/The_Ohio_Players,"Dayton, Ohio, United States",,POINT (-84.198938 39.760973),,soul,6m30rs1IQqnWqV5nKMpU7U
Ollie and the Nightingales,/wiki/The_Dixie_Nightingales,"Memphis, Tennessee, United States",,POINT (-89.954644 35.112125),,soul,3DdJHfaIJApxVnU9HRUV2X
Omawumi,/wiki/Omawumi,"Warri, Delta State","Delta State, [1]",POINT (5.751696 5.549106),POINT (5.771322 5.448632),soul,3Oi8FK1mJS7rHikNfZ7uPj
Billy Paul,/wiki/Billy_Paul,,"Philadelphia, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.168428 39.990821),soul,187xgSpsFH8mMbAcoCW0zE
Paulini,/wiki/Paulini,,"[1], [2], [2], Suva, Fiji",POINT (100.77522 18.776703),POINT (113.570343 22.132942),soul,69lNua6PEluHihKfuIRPKc
Freda Payne,/wiki/Freda_Payne,,"Detroit, Michigan",POINT (100.77522 18.776703),POINT (-83.164558 42.398648),soul,0701Axu6yvUIoctaKMbDIZ
Peaches & Herb,/wiki/Peaches_%26_Herb,"Washington, D.C., U.S.",,POINT (-77.01712 38.82652),,soul,6qI4LTzMRpTxRzMZPvv2C6
Ann Peebles,/wiki/Ann_Peebles,,"St. Louis, Missouri",POINT (100.77522 18.776703),POINT (-90.244086 38.633024),soul,5dM7jA0PXh0Ozz8LT2YOCB
Teddy Pendergrass,/wiki/Teddy_Pendergrass,,"Kingstree, South Carolina",POINT (100.77522 18.776703),POINT (-79.826597 33.665573),soul,68kACMx6A3D2BYiO056MeQ
George Perkins,/wiki/George_Perkins_(singer), American,"Denham Springs, Louisiana",POINT (-170.75203 -14.328316),POINT (-90.960085 30.469044),soul,17zAw77Dt713oQ5T1uMg7k
The Persuaders,/wiki/The_Persuaders_(R%26B_group),New York City,,POINT (-73.9708 40.68295),,soul,6PhJqhvF42CZ42NUmxIKLB
Esther Phillips,/wiki/Esther_Phillips,,"Galveston, Texas",POINT (100.77522 18.776703),POINT (-94.81164 29.28592),soul,0WZ7IgzdjPvwFdjDjjuZm7
Wilson Pickett,/wiki/Wilson_Pickett,"Detroit, Michigan, U.S.","Prattville, Alabama",POINT (-83.164558 42.398648),POINT (-86.459946 32.461913),soul,0N5PyKJzS3M1XNlaCL7bbE
Plan B,/wiki/Plan_B_(British_musician),"London, United Kingdom",,POINT (-0.099076 51.509648),,soul,2jSGzJw0ebJLu7OLVSOcBP
The Pointer Sisters,/wiki/The_Pointer_Sisters,"Oakland, California, U.S.",,POINT (-122.197811 37.785199),,soul,2kreKea2n96dXjcyAU9j5N
The Platters,/wiki/The_Platters,"Los Angeles, California, U.S.",,POINT (-118.25703 34.05513),,soul,6KWcxMWVNVIYbdOQyJtsSy
Elvis Presley,/wiki/Elvis_Presley,,"[a], Tupelo, Mississippi",POINT (100.77522 18.776703),POINT (-88.71171 34.248152),soul,43ZHCT0cAZBISjO8DG9PnE
Billy Preston,/wiki/Billy_Preston,"Los Angeles, California, U.S.","[1], Houston",POINT (-118.25703 34.05513),POINT (145.130218 -37.844999),soul,0IecGJbdBeYSOVtSPRehh5
Kelly Price,/wiki/Kelly_Price,,New York City,POINT (100.77522 18.776703),POINT (-73.9708 40.68295),soul,49FeZO3eSrJs7oH7lYLU1r
Lloyd Price,/wiki/Lloyd_Price,,"Kenner, Louisiana",POINT (100.77522 18.776703),POINT (-90.25447 30.011436),soul,3iOE5ItEv5xr9fmKi7GNh2
Billy Price,/wiki/Billy_Price_(singer),,"Fair Lawn, New Jersey",POINT (100.77522 18.776703),POINT (-74.115284 40.936231),soul,509o7Fm0youPHjgcq5nCRI
Prince,/wiki/Prince_(musician),,Minneapolis,POINT (100.77522 18.776703),POINT (-93.266563 44.96313),soul,5a2EaR3hamoenG9rDuVn8j
PJ Morton,/wiki/PJ_Morton,,New Orleans,POINT (100.77522 18.776703),POINT (-89.889852 30.056708),soul,2FMOHE79X98yptp4RpPrt7
James & Bobby Purify,/wiki/James_%26_Bobby_Purify,USA,,POINT (-96.999246 39.71614),,soul,7GaxyUddsPok8BuhxN6OUW
Corinne Bailey Rae,/wiki/Corinne_Bailey_Rae,,Leeds,POINT (100.77522 18.776703),POINT (-1.544227 53.797563),soul,29WzbAQtDnBJF09es0uddn
Bonnie Raitt,/wiki/Bonnie_Raitt,,"Burbank, California",POINT (100.77522 18.776703),POINT (-118.322584 34.185797),soul,4KDyYWR7IpxZ7xrdYbKrqY
Jaya Ramsey,/wiki/Jaya_Ramsey,,Manila,POINT (100.77522 18.776703),POINT (120.992302 14.593819),soul,1SS414roSdAE4B7bUsr3Az
Lou Rawls,/wiki/Lou_Rawls,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,1zJBFCev9UwOMcrZsLi2od
Otis Redding,/wiki/Otis_Redding,,"Dawson, Georgia",POINT (100.77522 18.776703),POINT (-84.445251 31.773154),soul,60df5JBRRPcnSpsIMxxwQm
Della Reese,/wiki/Della_Reese,,"Detroit, Michigan",POINT (100.77522 18.776703),POINT (-83.164558 42.398648),soul,63qOOnxbI8rVgpakjpnFBp
Martha & The Vandellas,/wiki/Martha_%26_The_Vandellas,"Detroit, Michigan, United States",,POINT (-83.164558 42.398648),,soul,1Pe5hlKMCTULjosqZ6KanP
Haley Reinhart,/wiki/Haley_Reinhart,,"Wheeling, Illinois",POINT (100.77522 18.776703),POINT (-87.9184 42.132844),soul,5cKlE8f6b26h61Ml7m052Q
Wendy Rene,/wiki/Wendy_Rene,,"Memphis, Tennessee",POINT (100.77522 18.776703),POINT (-89.954644 35.112125),soul,4ba7uNtpOq0us2C5Nx19zN
Mack Rice,/wiki/Mack_Rice,,"Clarksdale, Mississippi",POINT (100.77522 18.776703),POINT (-90.569902 34.200637),soul,4DL9a33cklEqpTpaavbIhQ
Lionel Richie,/wiki/Lionel_Richie,,"Tuskegee, Alabama",POINT (100.77522 18.776703),POINT (-85.696712 32.424081),soul,3gMaNLQm7D9MornNILzdSl
The Righteous Brothers,/wiki/The_Righteous_Brothers,"Orange County, California, U.S.",,POINT (-117.770825 33.688007),,soul,4b0WsB47XCa9F83BmwQ7WX
Rotimi,/wiki/Rotimi_(actor),,"Maplewood, New Jersey",POINT (100.77522 18.776703),POINT (-74.27348 40.73121),soul,1xBARhKI09ZTmeePVDWMCf
Minnie Riperton,/wiki/Minnie_Riperton,,"[1], [2], [3], Chicago, Illinois",POINT (100.77522 18.776703),POINT (7.989425 50.959463),soul,2i1IdHG5w0wiSmJGoqAGlj
Eric Roberson,/wiki/Eric_Roberson,,"Rahway, New Jersey",POINT (100.77522 18.776703),POINT (-74.280195 40.608263),soul,2ewAU3d4El7WSIxWUJaZJn
Smokey Robinson,/wiki/Smokey_Robinson,,Detroit,POINT (100.77522 18.776703),POINT (-83.164558 42.398648),soul,0h9smro0z3HqUbD94jotU8
Tad Robinson,/wiki/Tad_Robinson,"New York City, United States",,POINT (-73.9708 40.68295),,soul,6Tv4PJFnVdT5JBwyCwBObG
The Ronettes,/wiki/The_Ronettes,"New York City, New York, U.S.",,POINT (-73.9708 40.68295),,soul,7CyeXFnOrfC1N6z4naIpgo
Rose Royce,/wiki/Rose_Royce,"Los Angeles, California, United States",,POINT (-118.25703 34.05513),,soul,1OxJzMLmR9l5zPLap9OxuO
Diana Ross,/wiki/Diana_Ross,,"Detroit, Michigan",POINT (100.77522 18.776703),POINT (-83.164558 42.398648),soul,3MdG05syQeRYPPcClLaUGl
David Ruffin,/wiki/David_Ruffin,,"Whynot, Mississippi",POINT (100.77522 18.776703),POINT (-89.687118 32.921921),soul,3FZn8Z2B7mfaSOU8NE62KR
Rufus,/wiki/Rufus_(band),"Chicago, Illinois, United States",,POINT (-87.66063 41.87897),,soul,5Pb27ujIyYb33zBqVysBkj
Mitch Ryder & the Detroit Wheels,/wiki/Mitch_Ryder,,"Hamtramck, Michigan",POINT (100.77522 18.776703),POINT (-83.053264 42.394731),soul,4d22O5s2UK1KzIoZRR8NZk
Rag'n'Bone Man,/wiki/Rag%27n%27Bone_Man,,"Eastbourne, East Sussex",POINT (100.77522 18.776703),POINT (0.26524 50.775705),soul,4f9iBmdUOhQWeP7dcAn1pf
Rihanna,/wiki/Rihanna,,"Saint Michael, Barbados",POINT (100.77522 18.776703),POINT (-59.603234 13.120131),soul,5pKCCKE2ajJHZ9KAiaK11H
Sade,/wiki/Sade_(band),"London, England",,POINT (-0.099076 51.509648),,soul,47zz7sob9NUcODy0BTDvKx
Sam & Dave,/wiki/Sam_%26_Dave,"Miami, Florida",,POINT (-80.210268 25.766368),,soul,2wY79sveU1sp5g7SokKOiI
Curtis Salgado,/wiki/Curtis_Salgado,,"Everett, Washington",POINT (100.77522 18.776703),POINT (-122.236738 47.964931),soul,2VDoygKzNasudJOR0X1RH0
Nicole Scherzinger,/wiki/Nicole_Scherzinger,"
Louisville, Kentucky, U.S.
Los Angeles, California, U.S.
",Honolulu,POINT (-85.776881 38.141177),POINT (-157.789396 21.40572),soul,40xbWSB4JPdOkRyuTDy1oP
Freddie Scott,/wiki/Freddie_Scott,,"Providence, Rhode Island",POINT (100.77522 18.776703),POINT (-71.419697 41.826948),soul,3uuQLSmKyXSXIStTYGKLrT
Gil Scott-Heron,/wiki/Gil_Scott-Heron,"New York City, New York, U.S.","Chicago, Illinois",POINT (-73.9708 40.68295),POINT (-87.66063 41.87897),soul,0kEfub5RzlZOB2zGomqVSU
Jill Scott,/wiki/Jill_Scott_(singer),,Philadelphia,POINT (100.77522 18.776703),POINT (-75.168428 39.990821),soul,6AVLthptCPhfrxlHadOBJD
Seal,/wiki/Seal_(musician),,Paddington,POINT (100.77522 18.776703),POINT (151.228424 -33.883833),soul,5GtMEZEeFFsuHY8ad4kOxv
Reggie Sears,/wiki/Reggie_Sears,,"Fort Lauderdale, [1]",POINT (100.77522 18.776703),POINT (-80.104838 26.122865),soul,2hDO9Hvuh8vrSCYm3yRBui
Guy Sebastian,/wiki/Guy_Sebastian,,"Klang, Selangor",POINT (100.77522 18.776703),POINT (101.399359 3.106163),soul,5PjekOABtfU2Kwo0AHVmci
Seohyun,/wiki/Seohyun,,Seoul,POINT (100.77522 18.776703),POINT (127.009676 37.539619),soul,27fleokzKuIZuOy672JUVT
Ann Sexton,/wiki/Ann_Sexton,,Greenville,POINT (100.77522 18.776703),POINT (-77.379097 35.598855),soul,0GRaCCNpPCOZZ1tTheDKXJ
Remy Shand,/wiki/Remy_Shand,,"Winnipeg, Manitoba",POINT (100.77522 18.776703),POINT (-97.138026 49.874557),soul,0uPJNqmDRzjZJZXXG6HDtt
The Shirelles,/wiki/The_Shirelles,"Passaic, New Jersey, U.S.",,POINT (-74.132897 40.853786),,soul,0x83OBqixqdCHnStP5VMcn
Juliet Simms,/wiki/Juliet_Simms,"Clearwater, Florida, U.S.","San Francisco, California",POINT (-82.808575 27.975161),POINT (-122.431272 37.778008),soul,1hlXIybvN1I8r3ooBEkYRh
Joe Simon,/wiki/Joe_Simon_(musician),,Simmesport,POINT (100.77522 18.776703),POINT (-91.812514 30.981201),soul,5HRSYURV6LFFRCjAtiK0py
Nina Simone,/wiki/Nina_Simone,,"Tryon, North Carolina",POINT (100.77522 18.776703),POINT (-82.237598 35.208265),soul,7G1GBhoKtEPnP86X2PvEYO
Valerie Simpson,/wiki/Valerie_Simpson,"New York, New York, U.S.",,POINT (-73.9708 40.68295),,soul,7Lc8gVjpJFGo4xMHE0Ax7r
Percy Sledge,/wiki/Percy_Sledge,,"Leighton, Alabama",POINT (100.77522 18.776703),POINT (-87.529116 34.698587),soul,3rRmDmzPcAFwcUDvG5gBqO
Sly & the Family Stone,/wiki/Sly_%26_the_Family_Stone,"San Francisco, California, U.S.",,POINT (-122.431272 37.778008),,soul,5m8H6zSadhu1j9Yi04VLqD
Jorja Smith,/wiki/Jorja_Smith,,"Walsall, West Midlands",POINT (100.77522 18.776703),POINT (-1.98396 52.58528),soul,1CoZyIx7UvdxT5c8UkMzHd
O.C. Smith,/wiki/O.C._Smith,,"Mansfield, Louisiana",POINT (100.77522 18.776703),POINT (-93.694242 32.036354),soul,7qVAJPCHuOiMxlJ7h9xEAA
Sam Smith,/wiki/Sam_Smith_(singer),,London,POINT (100.77522 18.776703),POINT (-0.099076 51.509648),soul,2wY79sveU1sp5g7SokKOiI
The Soul Children,/wiki/The_Soul_Children,"Memphis, Tennessee, U.S.",,POINT (-89.954644 35.112125),,soul,74keeJdeVxqce4qJFj6WGx
Soul Basement,/wiki/Soul_Basement,,"Syracuse, Sicily",POINT (100.77522 18.776703),POINT (15.034018 37.093388),soul,42Uw7LbOwny9D2heYjKC8p
Jordin Sparks,/wiki/Jordin_Sparks,,"Phoenix, Arizona",POINT (100.77522 18.776703),POINT (-112.070892 33.60503),soul,2AQjGvtT0pFYfxR3neFcvz
The Spinners,/wiki/The_Spinners_(American_group),"Ferndale, Michigan, U.S.",,POINT (-83.126582 42.458339),,soul,5fbhwqYYh4YwUoEs582mq5
Dusty Springfield,/wiki/Dusty_Springfield,,"London, England",POINT (100.77522 18.776703),POINT (-0.099076 51.509648),soul,5zaXYwewAXedKNCff45U5l
The Staple Singers,/wiki/The_Staple_Singers,"Chicago, Illinois, United States",,POINT (-87.66063 41.87897),,soul,7xGGqA85UIWX1GoTVM4itC
Lisa Stansfield,/wiki/Lisa_Stansfield,,Manchester,POINT (100.77522 18.776703),POINT (-77.502783 18.037405),soul,2jS7I1u7BpgWT9ssG62Zr1
Mavis Staples,/wiki/Mavis_Staples,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,0cTSCsVx04SSht9V6cpKN0
Edwin Starr,/wiki/Edwin_Starr,,"Nashville, Tennessee",POINT (100.77522 18.776703),POINT (-86.834683 36.236907),soul,1B8AXU6gIIafpyLEpbcv1u
St. Paul & The Broken Bones,/wiki/St._Paul_%26_The_Broken_Bones,"Birmingham, Alabama, United States",,POINT (-86.800929 33.530651),,soul,4fXkvh05wFhuH77MfD4m9o
Candi Staton,/wiki/Candi_Staton,,"[1], [2], [3], [4], Hanceville, Alabama",POINT (100.77522 18.776703),POINT (-9.09734 38.771682),soul,3S34Unhn5yRcaH5K9aU5Et
Chris Stapleton,/wiki/Chris_Stapleton,"Nashville, Tennessee, U.S.","Lexington, Kentucky",POINT (-86.834683 36.236907),POINT (-84.474459 38.056966),soul,4YLtscXsxbVgi031ovDDdh
Allen Stone,/wiki/Allen_Stone,,"Chewelah, Washington",POINT (100.77522 18.776703),POINT (-117.71926 48.277167),soul,536osqBGKzeozje8BfcGsa
Angie Stone,/wiki/Angie_Stone,,"Columbia, South Carolina",POINT (100.77522 18.776703),POINT (-80.846323 34.044165),soul,2hWr3AjjKOCVmWcwvuT4uM
Joss Stone,/wiki/Joss_Stone,,"Dover, Kent",POINT (100.77522 18.776703),POINT (-75.526182 39.166217),soul,7bvcQXJHkFiN1ppIN3q4fi
Barrett Strong,/wiki/Barrett_Strong,"Detroit, Michigan, U.S.","West Point, Mississippi",POINT (-83.164558 42.398648),POINT (-88.657161 33.607018),soul,3MKwHkhEjcvzva2rasZeWD
Patrick Stump,/wiki/Patrick_Stump,,"Evanston, Illinois",POINT (100.77522 18.776703),POINT (-87.69123 42.046069),soul,0wsdUS0EJ7zHgti2nxTVWR
The Stylistics,/wiki/The_Stylistics,"Philadelphia, Pennsylvania, U.S.",,POINT (-75.168428 39.990821),,soul,2O0Hw1WSMbskB5tD9aWah3
Donna Summer,/wiki/Donna_Summer,,Boston,POINT (100.77522 18.776703),POINT (-71.048611 42.355492),soul,2eogQKWWoohI3BSnoG7E2U
The Supremes,/wiki/The_Supremes,"Detroit, Michigan, U.S.",,POINT (-83.164558 42.398648),,soul,57bUPid8xztkieZfS7OlEV
Bettye Swann,/wiki/Bettye_Swann,,"Shreveport, Louisiana",POINT (100.77522 18.776703),POINT (-93.764207 32.467848),soul,0g3EsNvUCwgpsdkAiIC50W
The Sweet Inspirations,/wiki/The_Sweet_Inspirations,US,,POINT (-96.999246 39.71614),,soul,1wonEkTZkBGYq7J4w56yZl
SZA,/wiki/SZA,"Maplewood, New Jersey, U.S.","St. Louis, Missouri",POINT (-74.27348 40.73121),POINT (-90.244086 38.633024),soul,7tYKF4w9nC0nq9CsPZTHyP
Tim Maia,/wiki/Tim_Maia,,"Rio de Janeiro, Brazil",POINT (100.77522 18.776703),POINT (-43.518246 -22.935024),soul,0jOs0wnXCu1bGGP7kh5uIu
Taeyeon,/wiki/Taeyeon,,"Jeonju, North Jeolla",POINT (100.77522 18.776703),POINT (127.128262 35.826708),soul,3qNVuliS40BLgXGxhdBdqu
Tamia,/wiki/Tamia,,"Windsor, Ontario",POINT (100.77522 18.776703),POINT (-82.997089 42.28382),soul,0le01dl1WllSHhjEXRl4in
The Tams,/wiki/The_Tams,"Atlanta, Georgia, United States",,POINT (-84.414581 33.769805),,soul,4FSD5qtm70EBsOiLMN2eEe
Howard Tate,/wiki/Howard_Tate,,"Elberton, Georgia",POINT (100.77522 18.776703),POINT (-82.866904 34.109326),soul,2z6I01y9cdNA4IlOAIcQED
Tavares,/wiki/Tavares_(group),"New Bedford, Ma. and Providence, Rhode Island, U.S.",,POINT (-71.419697 41.826948),,soul,3LfO03nEZMdWNHG2tLpMa0
