name,link,origin,birth,origin_point,birth_point,genre,spotify_id
Dobie Gray,/wiki/Dobie_Gray,,"Simonton, Texas",POINT (100.77522 18.776703),POINT (-95.999272 29.682505),soul,3mC1KCuZZSOlN8Z0M56VsV
Macy Gray,/wiki/Macy_Gray,,"Canton, Ohio",POINT (100.77522 18.776703),POINT (-81.375052 40.803604),soul,4ylR3zwA0zaapAu94fktwa
Al Green,/wiki/Al_Green,,"Forrest City, Arkansas",POINT (100.77522 18.776703),POINT (-90.783394 35.00918),soul,3dkbV4qihUeMsqN4vBGg93
CeeLo Green,/wiki/CeeLo_Green,,Atlanta,POINT (100.77522 18.776703),POINT (-84.414581 33.769805),soul,5nLYd9ST4Cnwy6NHaCxbj8
Skylar Grey,/wiki/Skylar_Grey,,"Mazomanie, Wisconsin",POINT (100.77522 18.776703),POINT (-89.77221 43.208577),soul,4utLUGcTvOJFr6aqIJtYWV
Christina Grimmie,/wiki/Christina_Grimmie,,"Marlton, New Jersey",POINT (100.77522 18.776703),POINT (-74.932655 39.905109),soul,0Cav8jyZKAHMFbAusOmjku
Guy,/wiki/Guy_(band),"New York City, U.S.",,POINT (-73.9708 40.68295),,soul,2IBPIcSkvQZyoaVfoyZKE8
Gwen Guthrie,/wiki/Gwen_Guthrie,,"Newark, New Jersey",POINT (100.77522 18.776703),POINT (-74.185148 40.718619),soul,77HthcNFa6SbicRaQKdhyy
Lynden David Hall,/wiki/Lynden_David_Hall,,"Wandsworth, South London",POINT (100.77522 18.776703),POINT (-0.19089 51.45719),soul,3fLIciFr0hJk9Mh0K6RLgQ
Anthony Hamilton,/wiki/Anthony_Hamilton_(musician),,"Charlotte, North Carolina",POINT (100.77522 18.776703),POINT (-80.81711 35.19534),soul,2DzRMyWgjuMbYvt5BLbpCo
Betty Harris,/wiki/Betty_Harris,,"Orlando, Florida",POINT (100.77522 18.776703),POINT (-81.293691 28.41959),soul,5uwRBFpU9SQ9s2Us0nlXkk
Wynonie Harris,/wiki/Wynonie_Harris,,"Omaha, Nebraska",POINT (100.77522 18.776703),POINT (-95.989632 41.261377),soul,4Imc3wiT22cuynvQNpXcVn
Kree Harrison,/wiki/Kree_Harrison,,"Port Arthur, Texas",POINT (100.77522 18.776703),POINT (-93.89954 29.682232),soul,69EZtIpAexeay0SwCf5EKY
Donny Hathaway,/wiki/Donny_Hathaway,"St. Louis, Missouri, U.S.","Chicago, Illinois",POINT (-90.244086 38.633024),POINT (-87.66063 41.87897),soul,0HU0U9kdXEHZVxUNbuQe8S
Isaac Hayes,/wiki/Isaac_Hayes,,"Covington, Tennessee",POINT (100.77522 18.776703),POINT (-89.650995 35.566397),soul,3IKV7o6WPphDB7cCWXaG3E
Heather Headley,/wiki/Heather_Headley,,Barataria,POINT (100.77522 18.776703),POINT (-61.45996 10.64717),soul,2xDc4cU0Rj6YG8SrmAHIy0
Bobby Hebb,/wiki/Bobby_Hebb,,"Nashville, Tennessee",POINT (100.77522 18.776703),POINT (-86.834683 36.236907),soul,2uNpV18izVIP7DNusoWbT5
Taylor Hicks,/wiki/Taylor_Hicks,,"[1], Birmingham, Alabama, [1]",POINT (100.77522 18.776703),POINT (87.18018 27.23006),soul,3E3tW69eMfAffLGgsmP3GG
Lauryn Hill,/wiki/Lauryn_Hill,,"East Orange, New Jersey",POINT (100.77522 18.776703),POINT (-74.20724 40.765519),soul,2Mu5NfyYm8n5iTomuKAEHl
Brenda Holloway,/wiki/Brenda_Holloway,"Watts, Los Angeles, California, U.S.","Atascadero, California",POINT (-118.244336 33.939022),POINT (-120.690928 35.4872),soul,3nXMZsj1H0F7h9SDUeYNjg
Thelma Houston,/wiki/Thelma_Houston,,"Leland, Mississippi",POINT (100.77522 18.776703),POINT (-90.896122 33.405786),soul,3sgUnR8TF35euWEV07RPyO
Whitney Houston,/wiki/Whitney_Houston,,"Newark, New Jersey",POINT (100.77522 18.776703),POINT (-74.185148 40.718619),soul,6XpaIBNiVzIetEPCWDvAFP
Jennifer Hudson,/wiki/Jennifer_Hudson,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,35GL8Cu2GKTcHzKGi75xl5
Jimmy Hughes,/wiki/Jimmy_Hughes_(singer),,"Temecula, California, United States",POINT (100.77522 18.776703),POINT (-117.124007 33.50315),soul,0Ac3Vb2xO8UGlSHlll7RFE
Tommy Hunt,/wiki/Tommy_Hunt,,"Pittsburgh, Pennsylvania",POINT (100.77522 18.776703),POINT (-79.936309 40.450508),soul,3w6zNa4W2GRH27JNb3xK1X
Willie Hutch,/wiki/Willie_Hutch,"Dallas, Texas, U.S.",Los Angeles,POINT (-96.784359 32.736212),POINT (-118.25703 34.05513),soul,5w834ZosnqiBBV8xXCi3oD
Phyllis Hyman,/wiki/Phyllis_Hyman,,"Philadelphia, [1], [2]",POINT (100.77522 18.776703),POINT (-76.511599 39.323085),soul,3oqSDVaf6RoBGreqOlgUpv
Hands Like Houses,/wiki/Hands_Like_Houses,"Canberra, Australian Capital Territory, Australia",,POINT (149.129269 -35.280901),,soul,0u3d5PM2FuEuG5QuUdt8mT
Billie Holiday,/wiki/Billie_Holiday,,"Philadelphia, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.168428 39.990821),soul,1YzCsTRb22dQkh9lghPIrp
Hozier,/wiki/Hozier,,"Newcastle, County Wicklow",POINT (100.77522 18.776703),POINT (-6.061723 53.070085),soul,2FXC3k01G6Gw61bmprjgqS
Ivory Joe Hunter,/wiki/Ivory_Joe_Hunter,,"Kirbyville, Texas",POINT (100.77522 18.776703),POINT (-93.896955 30.658906),soul,3DpdJvcq90sWYUx35Tcbea
The Impressions,/wiki/The_Impressions_(American_band),"Chattanooga, Tennessee, United States",,POINT (-85.234979 35.091981),,soul,1b1N51wmSK0ckxFAMPSSHO
Luther Ingram,/wiki/Luther_Ingram,,"Jackson, Tennessee",POINT (100.77522 18.776703),POINT (-88.836381 35.65243),soul,5Pek6HAr0BoHD9P1RuA7d5
The Ink Spots,/wiki/The_Ink_Spots,"Indianapolis, Indiana, United States",,POINT (-86.143448 39.785871),,soul,5bOsFzuJ6QZMr86ezC4oXY
The Isley Brothers,/wiki/The_Isley_Brothers,"Lincoln Heights, Ohio, U.S.",,POINT (-84.456134 39.244137),,soul,53QzNeFpzAaXYnrDBbDrIp
The Main Ingredient,/wiki/The_Main_Ingredient_(band),"Harlem, New York, U.S.",,POINT (-73.941371 40.809139),,soul,6vuD08WKtmp1yc7kQx1rBm
Jacquees,/wiki/Jacquees,,"Decatur, Georgia",POINT (100.77522 18.776703),POINT (-84.29873 33.771013),soul,4tMm1dU6Gn04VAZ9ClHcIZ
The Jackson 5,/wiki/The_Jackson_5,"Gary, Indiana, U.S.",,POINT (-87.346784 41.589885),,soul,2iE18Oxc8YSumAU232n4rW
"Al Jackson, Jr.","/wiki/Al_Jackson,_Jr.",,"Memphis, Tennessee",POINT (100.77522 18.776703),POINT (-89.954644 35.112125),soul,0pT3xQIs5s1rD6o47WJq95
Chuck Jackson,/wiki/Chuck_Jackson,,"Winston-Salem, North Carolina",POINT (100.77522 18.776703),POINT (-80.260878 36.105975),soul,64wglyu5BoOzwMXYjtAbfS
Freddie Jackson,/wiki/Freddie_Jackson,"New York City, New York, United States","[1], [2], Harlem, New York, [1], [2]",POINT (-73.9708 40.68295),POINT (-106.63821 28.95057),soul,2yaixhgm3yXxjhJAH8SZy3
George Jackson,/wiki/George_Jackson_(songwriter),,"Indianola, Mississippi",POINT (100.77522 18.776703),POINT (-90.65509 33.45095),soul,5PmB2ZWfKuqLb60qZdi4ys
Janet Jackson,/wiki/Janet_Jackson,,"Gary, Indiana",POINT (100.77522 18.776703),POINT (-87.346784 41.589885),soul,4qwGe91Bz9K2T8jXTZ815W
Jermaine Jackson,/wiki/Jermaine_Jackson,,"Gary, Indiana",POINT (100.77522 18.776703),POINT (-87.346784 41.589885),soul,1VDurPMbOKrNU8mcMP4X1P
J.J. Jackson,/wiki/J.J._Jackson_(singer),[1],"Bronx, New York",POINT (87.18018 27.23006),POINT (-73.874979 40.853551),soul,6FBBmwVjTdJ54I7j4BNkF5
Mahalia Jackson,/wiki/Mahalia_Jackson,,New Orleans,POINT (100.77522 18.776703),POINT (-89.889852 30.056708),soul,6QBUIuGCAJSAtefEY1EEdB
Michael Jackson,/wiki/Michael_Jackson,,"Gary, Indiana",POINT (100.77522 18.776703),POINT (-87.346784 41.589885),soul,3fMbdgg4jU18AjLCKBhRSm
Millie Jackson,/wiki/Millie_Jackson,,"[2], [3], Thomson, Georgia",POINT (100.77522 18.776703),POINT (44.799253 41.721669),soul,27XI002zivG9xuzrZ9dIb1
Jacksoul,/wiki/Jacksoul,"Toronto, Ontario, Canada",,POINT (-79.38171 43.64877),,soul,6MYVdDV8HlnABcYorJqwa0
The Jaggerz,/wiki/The_Jaggerz,"Pittsburgh, Pennsylvania, United States",,POINT (-79.936309 40.450508),,soul,05aFikcWbrmnDKsCHaH0Ce
Etta James,/wiki/Etta_James,,"Los Angeles, California",POINT (100.77522 18.776703),POINT (-118.25703 34.05513),soul,0iOVhN3tnSvgDbcg25JoJb
Leela James,/wiki/Leela_James,,"Los Angeles, California",POINT (100.77522 18.776703),POINT (-118.25703 34.05513),soul,5sennRot4Ls82wfspEQuf2
Rick James,/wiki/Rick_James,,"Buffalo, New York",POINT (100.77522 18.776703),POINT (-78.852918 42.890831),soul,0FrpdcVlJQqibaz5HfBUrL
Miles Jaye,/wiki/Miles_Jaye,"Brooklyn, New York City, New York, United States","Yonkers, New York",POINT (-73.956582 40.652256),POINT (-73.871717 40.944842),soul,7EdtzGPA7VaIbeMr4Po8zb
The JB's,/wiki/The_JB%27s,"Cincinnati, Ohio, United States",,POINT (-84.544084 39.147604),,soul,4lJHGi5dlJmWwFH0JKF6di
Jessica Sanchez,/wiki/Jessica_Sanchez,"San Diego, California, U.S.","Chula Vista, California",POINT (-117.15529 32.72793),POINT (-116.971992 32.629195),soul,3xBbmWwDPhEaGcwWgBarkI
Joshua Ledet,/wiki/Joshua_Ledet,,"Westlake, Louisiana",POINT (100.77522 18.776703),POINT (-93.15017 31.75822),soul,6aOLc2s5ULYBhMvUXBDuAr
Jessie Ware,/wiki/Jessie_Ware,,London,POINT (100.77522 18.776703),POINT (-0.099076 51.509648),soul,5Mq7iqCWBzofK39FBqblNc
Jodeci,/wiki/Jodeci,"Charlotte, North Carolina, U.S.",,POINT (-80.81711 35.19534),,soul,1eNkUXHPaXyuyC8NAgzykK
JoJo,/wiki/JoJo_(singer),,"Brattleboro, Vermont",POINT (100.77522 18.776703),POINT (-72.567452 42.854364),soul,3Iq6waFNaQnjLjEjp2l3nc
Joe,/wiki/Joe_(singer),"Opelika, Alabama, U.S.","[1], Columbus, Georgia",POINT (-85.38661 32.647748),POINT (-83.016422 40.002327),soul,2P5sC9cVZDToPxyomzF1UH
Little Willie John,/wiki/Little_Willie_John,"Detroit, Michigan, U.S.","Cullendale, Arkansas",POINT (-83.164558 42.398648),POINT (-92.826233 33.534527),soul,3mOiEPe870jJrahcf2TPYZ
L.V. Johnson,/wiki/L.V._Johnson,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),soul,7tx5tggyC846RPfRONzgr1
