,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
290,Hedy West,/wiki/Hedy_West,"Cartersville, Georgia[1]",,b'\x01\x01\x00\x00\x00\x7f1[\xb2*3U\xc0\x97u\xffX\x88\x14A@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',4SvvBi2pikrPFaCpESBLXw,folk
291,Floyd Red Crow Westerman,/wiki/Floyd_Red_Crow_Westerman,,"Lake Traverse Indian Reservation, South Dakota",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\x07]\xc2\xa1\xb7\x0eY\xc0\x1b\xda\x00l@<F@',2ficckYpBLlSvbKH3GbUBb,folk
292,Cheryl Wheeler,/wiki/Cheryl_Wheeler,"Timonium, Maryland, United States",,"b""\x01\x01\x00\x00\x002\x1f\x10\xe8L'S\xc0\xa4\x8a\xe2U\xd6\xb8C@""",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',4bvWv6KDmnNNJCfElUEgsZ,folk
293,Whiskeytown,/wiki/Whiskeytown,"Raleigh, North Carolina, U.S.",,b'\x01\x01\x00\x00\x00\xa5\xf7\x8d\xaf=\xa9S\xc0\xe7\xc7_Z\xd4\xe5A@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',0tyLMmQvEuyQR4qjGBdbem,folk
294,Josh White,/wiki/Josh_White,,"Greenville, South Carolina",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\x8f\xfc\xc1\xc0s\x98T\xc0\x0f\x9a]\xf7VlA@',4KTkQA8GYHDdnF85o70VoO,folk
295,William Elliott Whitmore,/wiki/William_Elliott_Whitmore,,"Lee County, Iowa",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\x90\xa1c\x07\x95\xe0V\xc0\x87S\xe6\xe6\x1bUD@',55N838yCXjxLVkBkIM5pnf,folk
296,David Wilcox,/wiki/David_Wilcox_(American_musician),,"Mentor, Ohio",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00hx\xb3\x06\xefTT\xc0\x16K\x91|%\xd8D@',3BTGj5kBXwkmm8M3vMbypx,folk
297,Dar Williams,/wiki/Dar_Williams,"Mount Kisco, New York, US",,b'\x01\x01\x00\x00\x00\xca\xa82\x8c\xbbnR\xc0\xef\xe5>9\n\x9aD@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',4Aarr7f0itQ2WFmmiPcriK,folk
298,Lucinda Williams,/wiki/Lucinda_Williams,,"Lake Charles, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00-\x98\xf8\xa3\xa8MW\xc0f\x84\xb7\x07!4>@',60ht0hWRy1yjUDfNsLuHuP,folk
299,Victoria Williams,/wiki/Victoria_Williams,,"Shreveport, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xf4\x17z\xc4\xe8pW\xc0\xdf\xbfyq\xe2;@@',3X4XES8PyvXVguL9Q6IEVD,folk
300,Cris Williamson,/wiki/Cris_Williamson,,"Deadwood, South Dakota",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00py\xac\x19\x19\xeeY\xc0\x12\x16\x15q:1F@',3HAd50yqk5ADswivbp5lWf,folk
301,Wishing Chair,/wiki/Wishing_Chair,"Lexington, Kentucky, United States",,b'\x01\x01\x00\x00\x00\xbe\x12H\x89]\x1eU\xc0\xf2}q\xa9J\x07C@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',7KHj0yjNyFOiP60uTltQoQ,folk
302,Denison Witmer,/wiki/Denison_Witmer,"Lancaster, Pennsylvania, U.S.",,b'\x01\x01\x00\x00\x00Rb\xd7\xf6v\x13S\xc0\x99-Y\x15\xe1\x04D@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',2sJ5Iicthbc9d8Sl1dpeSB,folk
303,Kate Wolf,/wiki/Kate_Wolf,,"San Francisco, California",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',"b'\x01\x01\x00\x00\x00\x8e\xeb\xdf\xf5\x99\x9b^\xc0`\x03""\xc4\x95\xe3B@'",0WisBVzWAcOpZtdUf23TiC,folk
304,Hally Wood,/wiki/Hally_Wood,,"Washington, D.C.",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xe2\x06|~\x18AS\xc0\xb6\xbeHh\xcbiC@',4cAUFrgRIV25uKnTH8pfJu,folk
305,Martin Zellar,/wiki/Martin_Zellar,,"Austin, Minnesota",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00v\xc1\xe0\x9a;?W\xc0\xf7\xe9x\xcc@\xd5E@',6nWoeTrnmG1742Y5fMGwpX,folk
